symbol,entry_time,exit_time,direction,lots,per_lot_risk,risk_pct_used,scaled_pnl,equity_after_entry,exit_reason,skipped
PS,2026-01-14 13:40:00,2026-01-14 14:35:00,short,0,1185.0,0.0,-0.0,116141.54,stop_loss,True
LC,2026-01-14 13:40:00,2026-01-14 13:50:00,short,1,880.0,0.758,1666.94,116141.54,take_profit,False
LC,2026-01-15 09:10:00,2026-01-15 09:15:00,short,0,1440.0,0.0,0.0,117808.48,take_profit,True
PS,2026-01-15 09:10:00,2026-01-15 09:15:00,short,2,555.0,0.942,-1169.02,117808.48,stop_loss,False
LC,2026-01-15 13:40:00,2026-01-15 14:55:00,long,0,3280.0,0.0,0.0,116639.46,forced_close,True
PS,2026-01-15 13:40:00,2026-01-15 13:45:00,short,3,240.0,0.617,-807.78,116639.46,stop_loss,False
LC,2026-01-16 09:10:00,2026-01-16 09:15:00,short,1,820.0,0.708,-852.69,115831.68,stop_loss,False
LC,2026-01-19 09:10:00,2026-01-19 10:10:00,short,0,3240.0,0.0,-0.0,114978.99,stop_loss,True
PS,2026-01-19 09:10:00,2026-01-19 09:20:00,short,0,1275.0,0.0,-0.0,114978.99,stop_loss,True
LC,2026-01-19 13:40:00,2026-01-19 13:45:00,short,1,600.0,0.522,-629.28,114978.99,stop_loss,False
PS,2026-01-21 09:10:00,2026-01-21 09:15:00,short,1,840.0,0.735,1605.51,114349.71,take_profit,False
LC,2026-01-21 13:40:00,2026-01-21 13:50:00,long,2,400.0,0.69,1413.42,115955.22,take_profit,False
PS,2026-01-21 13:40:00,2026-01-21 13:45:00,long,1,165.0,0.142,-194.53,115955.22,stop_loss,False
AG,2026-01-21 21:40:00,2026-01-21 22:10:00,long,0,2490.0,0.0,-0.0,117174.11,stop_loss,True
PS,2026-01-22 09:10:00,2026-01-22 09:15:00,long,2,480.0,0.819,1769.76,117174.11,take_profit,False
LC,2026-01-22 09:10:00,2026-01-22 09:15:00,long,1,520.0,0.444,-553.79,117174.11,stop_loss,False
AG,2026-01-22 09:10:00,2026-01-22 10:55:00,long,0,1455.0,0.0,0.0,117174.11,take_profit,True
LC,2026-01-22 13:40:00,2026-01-22 14:00:00,short,0,2560.0,0.0,-0.0,118390.08,stop_loss,True
LC,2026-01-23 09:10:00,2026-01-23 09:15:00,short,1,760.0,0.642,-795.29,118390.08,stop_loss,False
PS,2026-01-23 09:10:00,2026-01-23 09:15:00,short,2,360.0,0.608,-781.06,118390.08,stop_loss,False
AG,2026-01-23 13:40:00,2026-01-23 13:55:00,long,1,495.0,0.424,-569.92,116813.73,stop_loss,False
LC,2026-01-26 09:10:00,2026-01-26 09:15:00,long,1,900.0,0.774,-937.59,116243.81,stop_loss,False
AG,2026-01-26 13:40:00,2026-01-26 13:45:00,short,0,1410.0,0.0,-0.0,115306.22,stop_loss,True
AG,2026-01-26 21:10:00,2026-01-26 21:30:00,long,0,2610.0,0.0,-0.0,115306.22,stop_loss,True
AG,2026-01-27 09:10:00,2026-01-27 09:45:00,long,0,4800.0,0.0,-0.0,115306.22,stop_loss,True
LC,2026-01-27 13:40:00,2026-01-27 14:00:00,short,0,2260.0,0.0,-0.0,115306.22,stop_loss,True
AG,2026-01-28 09:10:00,2026-01-28 11:00:00,short,0,2625.0,0.0,-0.0,115306.22,stop_loss,True
AG,2026-01-28 13:40:00,2026-01-28 13:45:00,long,1,1050.0,0.911,-1138.24,115306.22,stop_loss,False
AG,2026-01-28 21:10:00,2026-01-28 21:30:00,short,0,3495.0,0.0,-0.0,114167.98,stop_loss,True
PS,2026-01-29 09:10:00,2026-01-29 10:05:00,short,0,1755.0,0.0,0.0,114167.98,take_profit,True
LC,2026-01-29 09:10:00,2026-01-29 09:40:00,short,0,4660.0,0.0,-0.0,114167.98,stop_loss,True
LC,2026-01-29 13:40:00,2026-01-29 13:45:00,long,1,1040.0,0.911,-1074.4,114167.98,stop_loss,False
PS,2026-01-29 13:40:00,2026-01-29 13:50:00,long,2,285.0,0.499,-630.16,114167.98,stop_loss,False
AG,2026-01-29 21:10:00,2026-01-29 21:20:00,short,0,2625.0,0.0,-0.0,112463.42,stop_loss,True
AG,2026-01-30 09:10:00,2026-01-30 10:30:00,short,0,11340.0,0.0,0.0,112463.42,take_profit,True
LC,2026-01-30 09:10:00,2026-01-30 09:15:00,short,1,860.0,0.765,-892.2,112463.42,stop_loss,False
PS,2026-01-30 09:10:00,2026-01-30 11:25:00,short,0,3540.0,0.0,0.0,112463.42,forced_close,True
PS,2026-01-30 13:40:00,2026-01-30 13:45:00,long,0,1155.0,0.0,-0.0,111571.22,stop_loss,True
